model,input_tokens,output_tokens,cost_usd,timestamp
MiniMax-M2.7-highspeed,1714,735,0.004925,2026-05-16T06:54:39.357716+00:00
deepseek-chat,346,149,0.0,2026-05-16T06:54:40.726593+00:00
MiniMax-M2.7-highspeed,1295,556,0.004155,2026-05-16T06:54:46.046190+00:00
MiniMax-M2.7-highspeed,1425,612,0.00467,2026-05-16T06:54:47.083834+00:00
MiniMax-M2.7-highspeed,989,425,0.002333,2026-05-16T06:54:54.168816+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,1444,619,0.0,2026-05-16T06:54:57.188061+00:00
deepseek-chat,9,4,0.0,2026-05-16T06:56:59.335510+00:00
MiniMax-M2.7-highspeed,1790,768,0.005987,2026-05-16T07:04:17.527616+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,701,301,0.0,2026-05-16T07:05:34.656696+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,879,377,0.0,2026-05-16T07:05:34.767893+00:00
llama-3.3-70b-versatile,167,72,0.0,2026-05-16T07:05:35.509971+00:00
llama-3.3-70b-versatile,538,231,0.0,2026-05-16T07:05:38.144957+00:00
deepseek-chat,390,168,0.0,2026-05-16T07:05:50.148586+00:00
MiniMax-M2.7-highspeed,640,275,0.001881,2026-05-16T07:05:51.455739+00:00
MiniMax-M2.7-highspeed,672,288,0.002014,2026-05-16T07:05:53.489866+00:00
MiniMax-M2.7-highspeed,1117,480,0.003531,2026-05-16T07:06:08.126019+00:00
deepseek-chat,794,341,0.0,2026-05-16T07:06:21.002804+00:00
deepseek-chat,3,2,0.0,2026-05-16T07:14:37.252234+00:00
deepseek-chat,14,6,0.0,2026-05-16T07:16:02.615929+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,549,236,0.0,2026-05-16T07:17:17.729359+00:00
llama-3.3-70b-versatile,247,106,0.0,2026-05-16T07:17:19.558903+00:00
deepseek-chat,688,295,0.0,2026-05-16T07:17:24.693985+00:00
MiniMax-M2.7-highspeed,590,254,0.00174,2026-05-16T07:17:35.118102+00:00
deepseek-chat,429,184,0.0,2026-05-16T07:17:42.089350+00:00
deepseek-chat,224,97,0.0,2026-05-16T07:17:50.587488+00:00
MiniMax-M2.7-highspeed,1569,673,0.005217,2026-05-16T07:17:53.488907+00:00
deepseek-chat,102,45,0.0,2026-05-16T07:17:54.315851+00:00
MiniMax-M2.7-highspeed,1573,675,0.00522,2026-05-16T07:17:58.425395+00:00
deepseek-chat,655,281,0.0,2026-05-16T07:18:28.084152+00:00
llama-3.3-70b-versatile,176,76,0.0,2026-05-16T07:19:26.152568+00:00
MiniMax-M2.7-highspeed,1687,723,0.002659,2026-05-16T07:19:30.264517+00:00
MiniMax-M2.7-highspeed,1589,681,0.005231,2026-05-16T07:19:55.687562+00:00
deepseek-chat,882,378,0.0,2026-05-16T07:20:02.472719+00:00
deepseek-chat,285,123,0.0,2026-05-16T07:20:16.982987+00:00
deepseek-chat,513,220,0.0,2026-05-16T07:20:41.346128+00:00
deepseek-chat,454,195,0.0,2026-05-16T07:21:03.900786+00:00
deepseek-chat,135,59,0.0,2026-05-16T07:21:15.077530+00:00
llama-3.3-70b-versatile,264,114,0.0,2026-05-16T07:21:25.789749+00:00
deepseek-chat,158,68,0.0,2026-05-16T07:21:30.767149+00:00
MiniMax-M2.7-highspeed,905,389,0.002849,2026-05-16T07:21:50.160384+00:00
deepseek-chat,485,209,0.0,2026-05-16T07:21:50.434355+00:00
MiniMax-M2.7-highspeed,1570,674,0.005218,2026-05-16T07:22:04.498562+00:00
deepseek-chat,416,179,0.0,2026-05-16T07:26:16.086603+00:00
deepseek-chat,211,91,0.0,2026-05-16T07:26:25.815551+00:00
deepseek-chat,1020,438,0.0,2026-05-16T07:27:09.732473+00:00
deepseek-chat,475,204,0.0,2026-05-16T07:27:31.544495+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,640,275,0.0,2026-05-16T07:30:06.145670+00:00
llama-3.3-70b-versatile,378,163,0.0,2026-05-16T07:30:08.609141+00:00
deepseek-chat,278,120,0.0,2026-05-16T07:30:14.762590+00:00
deepseek-chat,203,88,0.0,2026-05-16T07:30:19.916782+00:00
MiniMax-M2.7-highspeed,578,249,0.001703,2026-05-16T07:30:20.642972+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,938,403,0.0,2026-05-16T07:30:41.034840+00:00
MiniMax-M2.7-highspeed,1576,676,0.005222,2026-05-16T07:30:50.389107+00:00
MiniMax-M2.7-highspeed,2046,877,0.006899,2026-05-16T07:36:30.429815+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,696,299,0.0,2026-05-16T07:38:00.431216+00:00
llama-3.3-70b-versatile,187,81,0.0,2026-05-16T07:38:01.597960+00:00
MiniMax-M2.7-highspeed,479,206,0.001305,2026-05-16T07:38:12.414190+00:00
deepseek-chat,816,351,0.0,2026-05-16T07:38:33.303029+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,912,392,0.0,2026-05-16T07:39:23.092112+00:00
llama-3.3-70b-versatile,167,72,0.0,2026-05-16T07:39:23.659902+00:00
deepseek-chat,811,348,0.0,2026-05-16T07:39:39.818318+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,652,280,0.0,2026-05-16T07:46:04.713344+00:00
llama-3.3-70b-versatile,191,83,0.0,2026-05-16T07:46:05.398346+00:00
deepseek-chat,289,125,0.0,2026-05-16T07:46:13.304017+00:00
deepseek-chat,342,147,0.0,2026-05-16T07:48:00.601205+00:00
deepseek-chat,191,83,0.0,2026-05-16T07:48:09.908611+00:00
llama-3.3-70b-versatile,273,117,0.0,2026-05-16T07:48:35.250411+00:00
MiniMax-M2.7-highspeed,581,250,0.001678,2026-05-16T07:48:47.504251+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,555,239,0.0,2026-05-16T07:49:04.726806+00:00
deepseek-chat,838,360,0.0,2026-05-16T07:49:05.070735+00:00
